"Birdlife_Name","Birdlife_common.name","Jetz_Name","Jetz_order","Jetz_family","Body_mass","Beak"
"Cephalopterus penduliger","Long-wattled Umbrellabird","Cephalopterus_penduliger","Passeriformes","Cotingidae",338,40.4464989220444
"Cephalopyrus flammiceps","Fire-capped Tit","Cephalopyrus_flammiceps","Passeriformes","Remizidae",7,7.98059545724653
"Cepphus carbo","Spectacled Guillemot","Cepphus_carbo","Charadriiformes","Alcidae",490,47.1731113262009
"Cepphus columba","Pigeon Guillemot","Cepphus_columba","Charadriiformes","Alcidae",530,36.0152423927169
"Cepphus grylle","Black Guillemot","Cepphus_grylle","Charadriiformes","Alcidae",378,38.1809911190066
"Ceratogymna atrata","Black-casqued Hornbill","Ceratogymna_atrata","Bucerotiformes","Bucerotidae",1194.79,156.461120885553
"Ceratogymna elata","Yellow-casqued Hornbill","Ceratogymna_elata","Bucerotiformes","Bucerotidae",1917.02,177.045117284078
"Ceratopipra chloromeros","Round-tailed Manakin","Pipra_chloromeros","Passeriformes","Pipridae",16.5,13.0747604670376
"Ceratopipra cornuta","Scarlet-horned Manakin","Pipra_cornuta","Passeriformes","Pipridae",25.3,12.8864500641078
"Ceratopipra erythrocephala","Golden-headed Manakin","Pipra_erythrocephala","Passeriformes","Pipridae",13.43,12.120552790962
"Ceratopipra mentalis","Red-capped Manakin","Pipra_mentalis","Passeriformes","Pipridae",15,12.3489802324958
"Ceratopipra rubrocapilla","Red-headed Manakin","Pipra_rubrocapilla","Passeriformes","Pipridae",12,10.0250763032618
"Cercibis oxycerca","Sharp-tailed Ibis","Cercibis_oxycerca","Pelecaniformes","Threskiornithidae",1819,158.429488142161
"Cercococcyx mechowi","Dusky Long-tailed Cuckoo","Cercococcyx_mechowi","Cuculiformes","Cuculidae",55.6,21.707842139015
"Cercococcyx montanus","Barred Long-tailed Cuckoo","Cercococcyx_montanus","Cuculiformes","Cuculidae",58.2,21.6345366821475
"Cercococcyx olivinus","Olive Long-tailed Cuckoo","Cercococcyx_olivinus","Cuculiformes","Cuculidae",65.9,23.3388493393287
"Cercomacra brasiliana","Rio de Janeiro Antbird","Cercomacra_brasiliana","Passeriformes","Thamnophilidae",16.93,15.8665281380527
"Cercomacra carbonaria","Rio Branco Antbird","Cercomacra_carbonaria","Passeriformes","Thamnophilidae",14.5,16.5442698953883
"Cercomacra cinerascens","Grey Antbird","Cercomacra_cinerascens","Passeriformes","Thamnophilidae",14.3,19.0271980113794
"Cercomacra ferdinandi","Bananal Antbird","Cercomacra_ferdinandi","Passeriformes","Thamnophilidae",15,16.6486097358167
"Cercomacra manu","Manu Antbird","Cercomacra_manu","Passeriformes","Thamnophilidae",18.08,19.562845700467
"Cercomacra melanaria","Mato Grosso Antbird","Cercomacra_melanaria","Passeriformes","Thamnophilidae",19,18.6930759633332
"Cercomacra nigricans","Jet Antbird","Cercomacra_nigricans","Passeriformes","Thamnophilidae",16.56,17.9675224556362
"Cercomacroides fuscicauda","Riparian Antbird","Cercomacra_nigrescens","Passeriformes","Thamnophilidae",16.5,15.6744460376445
"Cercomacroides laeta","Willis's Antbird","Cercomacra_laeta","Passeriformes","Thamnophilidae",15.96,17.3714794187879
"Cercomacroides parkeri","Parker's Antbird","Cercomacra_parkeri","Passeriformes","Thamnophilidae",16.93,18.0582187369971
"Cercomacroides serva","Black Antbird","Cercomacra_serva","Passeriformes","Thamnophilidae",17,18.0806851748284
"Cercomacroides tyrannina","Dusky Antbird","Cercomacra_tyrannina","Passeriformes","Thamnophilidae",16.3,15.8944840369458
"Cercotrichas galactotes","Rufous-tailed Scrub-robin","Erythropygia_galactotes","Passeriformes","Muscicapidae",20.3,19.1328869498335
"Cercotrichas hartlaubi","Brown-backed Scrub-robin","Erythropygia_hartlaubi","Passeriformes","Muscicapidae",19.2,15.8955318266526
"Cercotrichas leucophrys","White-browed Scrub-robin","Erythropygia_leucophrys","Passeriformes","Muscicapidae",16.49,17.0297604115028
"Cercotrichas paena","Kalahari Scrub-robin","Erythropygia_paena","Passeriformes","Muscicapidae",19.7,17.5371521037538
"Cercotrichas podobe","Black Scrub-robin","Cercotrichas_podobe","Passeriformes","Muscicapidae",23.91,18.5044960936997
