"Birdlife_Name","Jetz_Name"
"Amazilia tobaci","Amazilia_tobaci"
"Amazilia tzacatl","Amazilia_tzacatl"
"Amazilia versicolor","Amazilia_versicolor"
"Amazilia violiceps","Amazilia_violiceps"
"Amazilia viridicauda","Amazilia_viridicauda"
"Amazilia viridifrons","Amazilia_viridifrons"
"Amazilia viridigaster","Amazilia_viridigaster"
"Amazilia wagneri","Amazilia_viridifrons"
"Amazilia yucatanensis","Amazilia_yucatanensis"
"Amazona aestiva","Amazona_aestiva"
"Amazona agilis","Amazona_agilis"
"Amazona albifrons","Amazona_albifrons"
"Amazona amazonica","Amazona_amazonica"
"Amazona arausiaca","Amazona_arausiaca"
"Amazona auropalliata","Amazona_auropalliata"
"Amazona autumnalis","Amazona_autumnalis"
"Amazona barbadensis","Amazona_barbadensis"
"Amazona bodini","Amazona_festiva"
"Amazona brasiliensis","Amazona_brasiliensis"
"Amazona collaria","Amazona_collaria"
"Amazona diadema","Amazona_autumnalis"
"Amazona dufresniana","Amazona_dufresniana"
"Amazona farinosa","Amazona_farinosa"
"Amazona festiva","Amazona_festiva"
"Amazona finschi","Amazona_finschi"
"Amazona guatemalae","Amazona_farinosa"
"Amazona guildingii","Amazona_guildingii"
"Amazona imperialis","Amazona_imperialis"
"Amazona kawalli","Amazona_kawalli"
"Amazona leucocephala","Amazona_leucocephala"
"Amazona lilacina","Amazona_autumnalis"
"Amazona martinicana",NA
"Amazona mercenarius","Amazona_mercenaria"
"Amazona ochrocephala","Amazona_ochrocephala"
"Amazona oratrix","Amazona_oratrix"
"Amazona pretrei","Amazona_pretrei"
"Amazona rhodocorytha","Amazona_rhodocorytha"
"Amazona tucumana","Amazona_tucumana"
"Amazona ventralis","Amazona_ventralis"
"Amazona versicolor","Amazona_versicolor"
"Amazona vinacea","Amazona_vinacea"
"Amazona violacea",NA
"Amazona viridigenalis","Amazona_viridigenalis"
"Amazona vittata","Amazona_vittata"
"Amazona xantholora","Amazona_xantholora"
"Amazonetta brasiliensis","Amazonetta_brasiliensis"
"Amblycercus holosericeus","Amblycercus_holosericeus"
"Amblyornis flavifrons","Amblyornis_flavifrons"
"Amblyornis inornata","Amblyornis_inornata"
"Amblyornis macgregoriae","Amblyornis_macgregoriae"
"Amblyornis subalaris","Amblyornis_subalaris"
"Amblyospiza albifrons","Amblyospiza_albifrons"
"Amblyramphus holosericeus","Amblyramphus_holosericeus"
"Ammodramus aurifrons","Ammodramus_aurifrons"
"Ammodramus humeralis","Ammodramus_humeralis"
"Ammodramus savannarum","Ammodramus_savannarum"
"Ammomanes cinctura","Ammomanes_cinctura"
"Ammomanes deserti","Ammomanes_deserti"
"Ammomanes phoenicura","Ammomanes_phoenicura"
"Ammomanopsis grayi","Ammomanes_grayi"
"Ammonastes pelzelni","Myrmeciza_pelzelni"
"Ammoperdix griseogularis","Ammoperdix_griseogularis"
"Ammoperdix heyi","Ammoperdix_heyi"
"Ammospiza caudacuta","Ammodramus_caudacutus"
"Ammospiza leconteii","Ammodramus_leconteii"
"Ammospiza maritima","Ammodramus_maritimus"
"Ammospiza nelsoni","Ammodramus_nelsoni"
