"Jetz_Name","Body_mass","Latitude_mean","Beak"
"Amazilia_saucerrottei",4.5,8.22,20.5752086056586
"Amazilia_tobaci",4.7,8.28,22.1627831370551
"Amazilia_tzacatl",4.79,9.88,21.7840037544565
"Amazilia_versicolor",4.1,-10.33,19.0297636899469
"Amazilia_violiceps",5.1,23.8,26.3546897662431
"Amazilia_viridicauda",6.1,0.26,25.1770922666453
"Amazilia_viridifrons",6.3,16.58,25.0349494073074
"Amazilia_yucatanensis",3.89,20.52,23.4184054245073
"Amazona_aestiva",451,-18.62,36.9774792208204
"Amazona_agilis",213,18.38,29.5200241485145
"Amazona_albifrons",206,17.76,29.6538656232731
"Amazona_amazonica",370,-5.08,36.7682510732057
"Amazona_arausiaca",327.37,15.3,37.886182277197
"Amazona_auropalliata",476.94,13.79,42.7340530593079
"Amazona_autumnalis",416,10.29,34.9392282004096
"Amazona_barbadensis",270,10.81,37.8122966552172
"Amazona_festiva",430,-0.91,37.7338092687074
"Amazona_brasiliensis",327.37,-25.21,33.2559179729316
"Amazona_collaria",187,18.38,33.0744843243156
"Amazona_dufresniana",623,4.69,39.6481016759761
"Amazona_farinosa",625.99,-2.04,42.4886882635149
"Amazona_finschi",302,21.53,35.6651725083794
"Amazona_guildingii",646,13.35,41.3114800896961
"Amazona_imperialis",327.37,15.3,44.4952719504945
"Amazona_kawalli",327.37,-5.86,40.2671325123986
"Amazona_leucocephala",235.34,21.82,30.3434275939595
"Amazona_mercenaria",340,-3.74,32.9935949585818
"Amazona_ochrocephala",476.94,-1.3,38.1124713714496
"Amazona_oratrix",476.94,19.09,39.6446444378812
"Amazona_pretrei",272.76,-26.91,28.1546417594887
"Amazona_rhodocorytha",474.34,-17.81,37.4817062370144
"Amazona_tucumana",260,-22.93,27.7083340480924
"Amazona_ventralis",214,18.7,30.8264650407769
"Amazona_versicolor",676,13.87,38.8451840451322
"Amazona_vinacea",254,-23.25,33.2435115436371
"Amazona_viridigenalis",316,23.04,33.8507303378116
"Amazona_vittata",279.28,18.06,33.858117139386
"Amazona_xantholora",217,19.57,31.0284114358071
"Amazonetta_brasiliensis",499.99,-13.66,38.4189884246569
"Amblycercus_holosericeus",70.42,6.64,29.492525976135
"Amblyornis_flavifrons",120,-2.27,27.1723386576399
"Amblyornis_inornata",124,-1.13,29.5846760002896
"Amblyornis_macgregoriae",117.47,-5.99,26.8740706154145
"Amblyornis_subalaris",108.88,-9.41,25.4677571868617
"Amblyospiza_albifrons",41.59,-5.64,20.1650571463071
